"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Hombre","Coquimbo","La Serems",44,3,20,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",4,8,3,3,"Aprueba","CC"
"Trans/No binario","Valparaiso","Villa Alemana",20,2,15,"Neutral","De acuerdo","De acuerdo","Muy de acuerdo",5,8,3,4,"Aprueba","CC"
"Mujer","Coquimbo","Coquimbo",21,3,14,"De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",1,8,5,2,"Aprueba","CC"
"Hombre","Valparaiso","Limache",26,3,20,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,6,3,5,"Aprueba","CC"
"Hombre","Valparaiso","Quilpué ",23,4,17,"De acuerdo","De acuerdo","Neutral","De acuerdo",8,10,3,5,"Aprueba","CC"
"Hombre","RM","Peñalolen",27,2,18,"En desacuerdo","Muy de acuerdo","Muy en desacuerdo","Neutral",1,5,1,10,"Aprueba","CC"
"Hombre","RM","Maipú",22,4,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,2,8,4,"Rechaza","CM"
"Hombre","Antofagasta","Antofagasta ",38,2,18,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,7,3,6,"Aprueba","CC"
"Hombre","RM","San Joaquin",25,2,17,"De acuerdo","De acuerdo","Muy en desacuerdo","De acuerdo",8,10,1,10,"Aprueba","CC"
"Hombre","RM","Las Condes",24,4,17,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",3,4,4,6,"Rechaza","CC"
"Hombre","Ñuble","Coihueco",47,4,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",1,10,5,7,"Aprueba","CC"
"Otro","RM","Quilicura",18,3,12,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",1,10,3,5,"Aprueba","CC"
"Mujer","Valparaiso","los andes",21,3,15,"En desacuerdo","Muy en desacuerdo","En desacuerdo","Muy en desacuerdo",2,6,4,3,"Aprueba","CM"
"Hombre","RM","Santiago",23,3,17,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",5,8,4,8,"Aprueba","CC"
"Hombre","RM","Santiago Centro",20,3,15,"De acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",4,7,3,5,"Aprueba","CC"
